chromosome	start	end	strand	C%+G%	Obs/Exp	CG_count	len
chr17	79557557	79558463	-	66.34	0.63	63.0	906	
chr17	79566475	79567870	-	70.25	0.75	129.0	1395	
chr17	79575019	79576618	-	67.79	0.65	119.0	1599	
chr17	79580800	79582266	-	68.96	0.64	110.0	1466	
chr17	79589754	79590330	-	56.08	0.66	29.0	576	
chr17	79606307	79607969	-	58.84	0.81	116.0	1662	
chr17	79641934	79643599	-	72.25	0.75	163.0	1665	
chr17	79647816	79649145	-	72.84	0.81	139.0	1329	
chr17	79656360	79656880	-	67.12	0.69	40.0	520	
chr17	79662411	79664496	-	71.18	0.81	211.0	2085	
chr17	79680299	79680823	-	55.15	0.68	27.0	524	
chr17	79724142	79724858	-	53.35	0.65	33.0	716	
chr17	79728127	79730098	-	69.0	0.88	203.0	1971	
chr17	79774241	79776106	-	61.61	0.84	149.0	1865	
chr17	79799240	79801131	-	71.5	0.72	170.0	1891	
chr17	79803392	79806597	-	69.98	0.8	314.0	3205	
chr17	79834976	79836630	-	67.35	0.82	153.0	1654	
chr17	79890840	79892394	-	64.35	0.81	128.0	1554	
chr17	79901830	79902416	-	51.19	0.61	23.0	586	
chr17	79934422	79934927	-	56.24	0.81	32.0	505	
chr17	79941665	79942282	-	53.32	0.64	28.0	617	
chr17	79948452	79949028	-	54.69	0.69	29.0	576	
chr17	79968507	79969172	-	52.63	0.66	30.0	665	
chr17	80000212	80000920	-	52.54	0.6	29.0	708	
chr17	80019987	80021676	-	71.64	0.74	159.0	1689	
chr17	80022902	80024352	-	61.72	0.88	121.0	1450	
chr17	80025879	80026411	-	55.26	0.61	24.0	532	
chr17	80031322	80032941	-	60.59	0.75	111.0	1619	
chr17	80037431	80038117	-	60.06	0.7	43.0	686	
chr17	80044010	80045006	-	65.76	0.6	65.0	996	
chr17	80060649	80064068	-	66.48	0.82	308.0	3419	
chr17	80071292	80071905	-	53.51	0.78	34.0	613	
chr17	80087485	80088963	-	67.46	0.78	130.0	1478	
chr17	80096525	80097069	-	56.99	0.68	30.0	544	
chr17	80111138	80113449	-	69.15	0.71	197.0	2311	
chr17	80123579	80124161	-	52.75	0.67	27.0	582	
chr17	80131930	80132682	-	53.32	0.7	37.0	752	
chr17	80139850	80140352	-	53.59	0.64	23.0	502	
chr17	80154161	80154813	-	52.45	0.74	33.0	652	
chr17	80166239	80166930	-	68.6	0.6	49.0	691	
chr17	80182077	80183367	-	75.74	0.76	141.0	1290	
chr17	80189665	80190216	-	58.08	0.64	29.0	551	
chr17	80197497	80198012	-	58.64	0.6	26.0	515	
chr17	80218836	80219619	-	63.09	0.62	46.0	783	
chr17	80236148	80236665	-	55.13	0.71	28.0	517	
chr17	80242098	80242766	-	58.08	0.62	33.0	668	
chr17	80242946	80243486	-	66.11	0.87	51.0	540	
chr17	80245428	80245953	-	56.0	0.74	30.0	525	
chr17	80249122	80249852	-	51.51	0.87	42.0	730	
chr17	80259647	80261157	-	69.93	0.6	108.0	1510	
chr17	80261898	80262512	-	62.38	0.62	36.0	614	
chr17	80271220	80271971	-	60.32	0.67	46.0	751	
chr17	80284710	80285230	-	71.35	0.79	52.0	520	
chr17	80294114	80295499	-	61.37	0.85	111.0	1385	
chr17	80310754	80311273	-	58.19	0.68	30.0	519	
chr17	80311396	80313585	-	73.05	0.77	224.0	2189	
chr17	80318590	80319233	-	55.68	0.6	30.0	643	
chr17	80319928	80320540	-	53.27	0.69	30.0	612	
chr17	80342235	80342998	-	75.62	0.74	42.0	763	
chr17	80348189	80348848	-	50.99	0.61	26.0	659	
chr17	80367120	80367675	-	51.71	0.68	24.0	555	
chr17	80368787	80369321	-	56.37	0.6	25.0	534	
chr17	80373151	80373670	-	55.11	0.75	29.0	519	
chr17	80423111	80423753	-	56.7	0.74	36.0	642	
chr17	80451108	80451610	-	55.98	0.67	26.0	502	
chr17	80455555	80456343	-	58.88	0.66	45.0	788	
chr17	80467352	80467894	-	58.49	0.65	30.0	542	
chr17	80477119	80477637	-	56.76	0.6	25.0	518	
chr17	80481353	80482234	-	55.62	1.21	79.0	881	
chr17	80490921	80491519	-	61.87	0.61	35.0	598	
chr17	80491962	80492596	-	54.42	0.6	28.0	634	
chr17	80508948	80510109	-	61.07	0.94	102.0	1161	
chr17	80538219	80540413	-	64.95	0.88	204.0	2194	
chr17	80558517	80560267	-	72.11	0.89	202.0	1750	
chr17	80576144	80577779	-	62.32	0.82	127.0	1635	
chr17	80612959	80613475	-	54.84	0.7	27.0	516	
chr17	80645073	80646188	-	53.09	0.7	52.0	1115	
chr17	80671988	80674426	-	59.47	0.7	147.0	2438	
chr17	80719341	80720441	-	66.64	0.65	79.0	1100	
chr17	80738554	80739073	-	54.14	0.73	25.0	519	
chr17	80749829	80750389	-	51.07	0.85	31.0	560	
chr17	80788709	80789220	-	63.21	0.79	40.0	511	
chr17	80901661	80902396	-	61.22	0.71	48.0	735	
chr17	80902906	80903488	-	54.81	0.65	28.0	582	
chr17	80934576	80935719	-	64.57	0.87	103.0	1143	
chr17	80940856	80942795	-	60.03	1.13	181.0	1939	
chr17	80956705	80957209	-	52.38	0.64	22.0	504	
chr17	80958906	80960773	-	74.18	0.75	193.0	1867	
chr17	80977434	80977980	-	58.97	0.67	31.0	546	
chr17	80981421	80981922	-	62.28	0.92	41.0	501	
chr17	80986252	80986974	-	59.14	0.65	41.0	722	
chr17	80988240	80989736	-	58.22	1.04	121.0	1496	
chr17	81042773	81043416	-	62.67	0.6	38.0	643	
chr17	81051514	81052170	-	57.16	0.62	33.0	656	
chr17	81056477	81058791	-	62.75	0.91	127.0	2314	
chr17	81071605	81072515	-	64.29	0.75	68.0	910	
chr17	81080694	81081647	-	56.56	0.76	58.0	953	
chr17	81082671	81083250	-	53.54	0.69	28.0	579	
chr17	81087243	81091746	-	55.67	0.83	286.0	4503	
chr17	81094910	81095678	-	58.85	0.76	49.0	768	
chr17	81109348	81110548	-	58.17	0.65	65.0	1200	
chr17	81137531	81139144	-	54.8	0.78	92.0	1613	
chr17	81152712	81153878	-	78.82	1.33	187.0	1166	
chr17	81163289	81165381	-	75.14	0.89	262.0	2092	
chr18	10690	11535	+	65.21	1.01	90.0	845	
chr18	11668	12587	+	72.25	0.64	77.0	919	
chr18	72674	73954	+	60.7	0.77	90.0	1280	
chr18	75092	76364	+	58.33	0.8	87.0	1272	
chr18	111676	112530	+	72.83	0.74	83.0	854	
chr18	158148	159375	+	66.91	0.8	110.0	1227	
chr18	267470	268544	+	62.76	0.74	78.0	1074	
chr18	499316	501654	+	63.13	0.9	208.0	2338	
chr18	512070	513022	+	65.86	0.67	69.0	952	
chr18	514319	515643	+	67.67	0.82	110.0	1324	
chr18	580180	580933	+	60.29	0.93	61.0	753	
chr18	596703	597666	+	64.69	0.66	66.0	963	
chr18	656588	658949	+	61.54	0.82	183.0	2361	
chr18	712233	713751	+	65.68	0.93	152.0	1518	
chr18	811502	813309	+	65.86	0.81	159.0	1807	
chr18	836979	837513	+	50.75	0.88	30.0	534	
chr18	904243	908596	+	61.59	0.73	302.0	4353	
chr18	908799	909720	+	58.09	0.89	69.0	921	
chr18	976348	976866	+	60.62	0.78	37.0	518	
chr18	1098063	1098666	+	73.3	0.63	51.0	603	
chr18	1521704	1522222	+	59.27	0.64	29.0	518	
chr18	2130702	2131274	+	57.34	0.71	33.0	572	
chr18	2351126	2351634	+	52.36	0.81	28.0	508	
chr18	2571287	2572169	+	53.06	0.94	55.0	882	
chr18	2654898	2656818	+	67.24	0.96	208.0	1920	
chr18	2846390	2848176	+	69.54	0.81	175.0	1786	
chr18	2905659	2907474	+	68.15	0.83	173.0	1815	
chr18	3011287	3012048	+	50.59	0.6	29.0	761	
chr18	3012386	3013565	+	73.28	0.95	150.0	1179	
chr18	3013689	3014441	+	53.72	0.68	37.0	752	
chr18	3030193	3030780	+	50.6	0.68	25.0	587	
chr18	3038011	3038774	+	55.96	0.7	42.0	763	
chr18	3124086	3124624	+	52.79	0.62	23.0	538	
chr18	3214274	3215171	+	57.3	0.7	51.0	897	
chr18	3224701	3225314	+	52.2	0.61	25.0	613	
chr18	3246534	3247122	+	50.51	0.72	27.0	588	
chr18	3247654	3248427	+	59.25	0.8	54.0	773	
chr18	3261313	3262888	+	63.56	0.93	147.0	1575	
chr18	3349455	3350366	+	52.69	0.62	39.0	911	
chr18	3360164	3361078	+	55.47	0.63	44.0	914	
chr18	3428454	3429080	+	51.92	0.6	25.0	626	
chr18	3447385	3449117	+	53.46	0.75	93.0	1732	
chr18	3449249	3451081	+	65.78	0.88	173.0	1832	
chr18	3451196	3452759	+	61.42	0.71	104.0	1563	
chr18	3453300	3453911	+	51.23	0.67	27.0	611	
chr18	3498731	3499359	+	64.81	0.93	58.0	628	
chr18	3535393	3535966	+	53.23	0.66	26.0	573	
chr18	3568747	3569289	+	52.58	0.66	24.0	542	
chr18	3651613	3652152	+	56.22	0.61	26.0	539	
chr18	3879131	3880170	+	66.51	0.71	80.0	1039	
chr18	4453682	4455715	+	67.19	0.85	194.0	2033	
chr18	5196185	5197831	+	58.87	0.77	110.0	1646	
chr18	5237724	5238892	+	64.13	0.91	109.0	1168	
chr18	5295073	5297100	+	74.35	1.01	283.0	2027	
chr18	5540569	5541208	+	52.58	0.76	33.0	639	
chr18	5542523	5544242	+	69.81	0.87	181.0	1719	
chr18	5628003	5630786	+	67.62	0.82	261.0	2783	
chr18	5890293	5892067	+	71.98	0.84	192.0	1774	
chr18	5894867	5896311	+	74.24	0.85	168.0	1444	
chr18	6145972	6146548	+	58.68	0.64	30.0	576	
chr18	6271427	6272174	+	53.55	0.74	37.0	747	
chr18	6413728	6415120	+	70.83	0.88	153.0	1392	
chr18	6466025	6466643	+	50.32	0.69	27.0	618	
chr18	6729230	6730271	+	64.65	0.95	103.0	1041	
chr18	6929388	6930130	+	67.52	0.62	46.0	742	
chr18	7115661	7116186	+	53.52	0.64	24.0	525	
chr18	7116853	7118242	+	72.93	0.85	155.0	1389	
chr18	7136434	7137017	+	55.57	0.72	32.0	583	
chr18	7145049	7145644	+	54.29	0.69	30.0	595	
chr18	7210851	7211373	+	54.02	0.61	23.0	522	
chr18	7501019	7501554	+	52.34	0.63	23.0	535	
chr18	7566522	7568831	+	75.01	0.91	296.0	2309	
chr18	8367242	8367748	+	66.4	0.83	46.0	506	
chr18	8608597	8610640	+	63.93	0.93	192.0	2043	
chr18	8658864	8659673	+	58.96	0.63	44.0	809	
chr18	8659792	8660336	+	57.17	0.7	31.0	544	
chr18	8703276	8703942	+	57.96	0.63	35.0	666	
chr18	8704328	8707558	+	71.55	0.86	355.0	3230	
chr18	8784784	8785645	+	58.42	0.65	48.0	861	
chr18	9102288	9103354	+	60.23	0.77	74.0	1066	
chr18	9135899	9137595	+	72.05	0.96	211.0	1696	
chr18	9333897	9335443	+	67.01	0.88	150.0	1546	
chr18	9385937	9386440	+	52.88	0.6	21.0	503	
chr18	9474126	9476179	+	64.34	0.74	158.0	2053	
chr18	9478365	9478921	+	61.87	0.79	42.0	556	
chr18	9535598	9536127	+	58.6	0.73	33.0	529	
chr18	9613378	9615304	+	69.83	0.92	213.0	1926	
chr18	9707409	9709739	+	63.61	0.82	192.0	2330	
chr18	9913365	9915252	+	69.37	0.92	208.0	1887	
chr18	10031681	10032985	+	60.05	0.66	77.0	1304	
chr18	10131790	10132302	+	65.23	0.76	41.0	512	
chr18	10150523	10151045	+	53.83	0.65	24.0	522	
chr18	10296585	10297133	+	54.01	0.6	24.0	548	
chr18	10453612	10455607	+	67.17	0.76	170.0	1995	
chr18	10525737	10526613	+	64.27	0.77	70.0	876	
chr18	10578232	10578760	+	58.14	0.75	33.0	528	
chr18	10587962	10588580	+	50.65	0.69	27.0	618	
chr18	11023458	11024532	+	63.78	0.63	69.0	1074	
chr18	11034316	11034839	+	55.64	0.67	27.0	523	
chr18	11106109	11106659	+	52.18	0.6	22.0	550	
chr18	11147131	11149980	+	64.02	0.74	217.0	2849	
chr18	11432316	11432817	+	69.86	0.67	41.0	501	
chr18	11596472	11597157	+	54.16	0.68	34.0	685	
chr18	11688945	11690314	+	69.54	0.9	149.0	1369	
chr18	11750736	11752982	+	63.89	0.8	182.0	2246	
chr18	11821432	11822477	+	58.18	0.65	57.0	1045	
chr18	11850894	11852123	+	54.6	0.92	84.0	1229	
chr18	11880749	11881668	+	57.02	0.61	45.0	919	
chr18	11908140	11909126	+	72.11	0.9	115.0	986	
chr18	11947265	11948156	+	65.43	0.6	55.0	891	
chr18	11965150	11965729	+	53.37	0.66	27.0	579	
chr18	11971902	11973467	+	54.82	0.63	74.0	1565	
chr18	11977757	11978683	+	50.22	0.78	45.0	926	
chr18	11980234	11982979	+	63.35	0.82	221.0	2745	
chr18	12038286	12039360	+	69.27	0.76	98.0	1074	
chr18	12067535	12068600	+	70.05	0.62	81.0	1065	
chr18	12076165	12076819	+	65.75	0.95	67.0	654	
chr18	12093271	12094332	+	61.83	0.68	67.0	1061	
chr18	12207966	12208531	+	59.12	0.77	38.0	565	
chr18	12253806	12255569	+	63.64	0.72	128.0	1763	
chr18	12270936	12272120	+	61.49	0.61	68.0	1184	
chr18	12307246	12309579	+	65.54	0.85	214.0	2333	
chr18	12324894	12326168	+	61.7	0.74	90.0	1274	
chr18	12375490	12376373	+	56.63	0.71	50.0	883	
chr18	12376517	12378046	+	69.46	0.84	152.0	1529	
chr18	12407024	12408613	+	64.82	0.83	138.0	1589	
chr18	12420136	12421135	+	70.47	0.69	86.0	999	
chr18	12432093	12432685	+	54.73	0.7	31.0	592	
chr18	12432802	12435118	+	59.28	0.66	133.0	2316	
chr18	12576367	12576868	+	52.89	0.61	21.0	501	
chr18	12654267	12654921	+	51.38	0.65	28.0	654	
chr18	12656976	12658896	+	71.93	0.97	240.0	1920	
chr18	12664077	12664582	+	52.48	0.61	21.0	505	
chr18	12701526	12703662	+	56.93	0.93	160.0	2136	
chr18	12708649	12709396	+	51.67	0.64	32.0	747	
chr18	12756228	12756816	+	53.91	0.66	28.0	588	
chr18	12760849	12761369	+	54.23	0.71	27.0	520	
chr18	12776795	12778114	+	70.58	0.68	112.0	1319	
chr18	12778305	12779113	+	50.12	0.68	34.0	808	
chr18	12779332	12780035	+	54.62	0.71	37.0	703	
chr18	12883083	12884605	+	68.59	0.95	169.0	1522	
chr18	12896512	12897154	+	67.13	0.9	65.0	642	
chr18	12910008	12910653	+	53.18	0.75	34.0	645	
chr18	12910880	12912705	+	66.25	0.77	155.0	1825	
chr18	12946953	12949269	+	62.05	0.79	177.0	2316	
chr18	12990742	12992047	+	57.93	0.82	90.0	1305	
chr18	13134644	13135306	+	69.94	0.64	52.0	662	
chr18	13136568	13138228	+	63.31	0.77	127.0	1660	
chr18	13216911	13219227	+	71.33	0.85	249.0	2316	
chr18	13231131	13231715	+	51.37	0.72	27.0	584	
chr18	13261824	13263308	+	66.64	0.75	117.0	1484	
chr18	13325482	13326063	+	57.66	0.64	30.0	581	
chr18	13404133	13405070	+	54.64	0.68	47.0	937	
chr18	13447800	13448888	+	50.74	0.62	41.0	1088	
chr18	13497805	13499866	+	57.21	0.71	109.0	2061	
chr18	13621116	13621889	+	61.71	0.63	46.0	773	
chr18	13641529	13642416	+	70.46	0.78	86.0	887	
chr18	13642869	13643518	+	57.63	0.65	35.0	649	
chr18	13725620	13727371	+	61.39	0.87	144.0	1751	
chr18	13800916	13801586	+	60.15	0.71	43.0	670	
chr18	13823917	13824431	+	64.98	1.01	55.0	514	
chr18	13825986	13826524	+	58.74	0.69	32.0	538	
chr18	13836601	13837562	+	59.94	0.65	56.0	961	
chr18	13865644	13866190	+	57.14	0.67	30.0	546	
chr18	13868198	13869241	+	57.05	0.7	59.0	1043	
chr18	14131916	14132809	+	57.56	0.66	49.0	893	
chr18	14177066	14179955	+	62.72	0.63	174.0	2889	
chr18	14392065	14394012	+	64.46	0.64	130.0	1947	
chr18	14430516	14431613	+	67.91	0.71	89.0	1097	
chr18	14450104	14451037	+	72.88	0.87	107.0	933	
chr18	14486799	14487512	+	66.48	0.66	52.0	713	
chr18	14543469	14544423	+	63.21	0.64	61.0	954	
chr18	14746679	14748835	+	62.34	0.62	130.0	2156	
chr18	14997360	15000678	+	70.28	0.77	312.0	3318	
chr18	15197282	15198344	+	68.08	0.76	93.0	1062	
chr18	18690677	18692060	+	66.67	0.83	127.0	1383	
chr18	18693569	18694153	+	53.94	0.64	27.0	584	
chr18	18821135	18822996	+	70.18	0.84	192.0	1861	
chr18	18927606	18928199	+	53.79	0.65	27.0	593	
chr18	18960787	18961349	+	56.23	0.64	28.0	562	
chr18	18977173	18977678	+	54.65	0.7	26.0	505	
chr18	19175259	19175913	+	56.42	0.64	33.0	654	
chr18	19179694	19181456	+	61.86	0.84	142.0	1762	
chr18	19191775	19192671	+	59.6	0.85	68.0	896	
chr18	19229307	19229895	+	57.31	0.69	33.0	588	
chr18	19283530	19285173	+	64.21	0.87	148.0	1643	
chr18	19320410	19322070	+	68.8	0.86	168.0	1660	
chr18	19330215	19330722	+	53.06	0.62	22.0	507	
chr18	19581864	19582368	+	56.15	0.65	26.0	504	
chr18	19631942	19632514	+	56.82	0.77	35.0	572	
chr18	19644007	19644630	+	54.09	0.6	27.0	623	
chr18	19744895	19746899	+	60.18	0.88	160.0	2004	
chr18	19747084	19752666	+	63.19	0.84	466.0	5582	
chr18	19756461	19757357	+	66.29	0.76	75.0	896	
chr18	19780465	19781022	+	61.76	0.68	36.0	557	
chr18	19928174	19929330	+	65.05	0.88	107.0	1156	
chr18	20109554	20110085	+	58.76	0.77	35.0	531	
chr18	20139442	20140597	+	58.53	0.73	72.0	1155	
chr18	20512644	20514382	+	54.55	0.94	121.0	1738	
chr18	20573944	20574606	+	52.87	0.74	34.0	662	
chr18	20659611	20660230	+	52.18	0.62	26.0	619	
chr18	20714762	20717072	+	70.69	0.96	275.0	2310	
chr18	21017489	21018219	+	53.97	0.84	44.0	730	
chr18	21032967	21033825	+	63.29	0.69	59.0	858	
chr18	21035058	21035599	+	54.34	0.71	28.0	541	
chr18	21082975	21084369	+	65.21	0.92	136.0	1394	
chr18	21156503	21157056	+	53.16	0.68	26.0	553	
chr18	21166085	21167144	+	68.56	0.87	108.0	1059	
chr18	21199079	21199799	+	66.81	0.69	55.0	720	
chr18	21235431	21236053	+	55.14	0.72	34.0	622	
chr18	21242257	21243124	+	70.82	0.84	88.0	867	
chr18	21269223	21270350	+	72.4	0.85	125.0	1127	
chr18	21593979	21595538	+	71.26	0.87	172.0	1559	
chr18	21718607	21719804	+	56.73	0.79	75.0	1197	
chr18	21851322	21852190	+	74.31	0.82	97.0	868	
chr18	21976992	21978111	+	63.18	0.95	105.0	1119	
chr18	22006273	22007273	+	66.4	0.82	90.0	1000	
chr18	22204546	22205080	+	59.55	0.78	37.0	534	
chr18	22929407	22931166	+	67.88	0.99	199.0	1759	
chr18	22931694	22932452	+	73.22	0.94	95.0	758	
chr18	23669639	23671426	+	62.73	0.83	146.0	1787	
chr18	23749525	23750109	+	51.2	0.6	23.0	584	
chr18	23751170	23751694	+	51.72	0.81	28.0	524	
chr18	23777171	23777704	+	57.41	0.73	31.0	533	
chr18	23805965	23807338	+	64.09	0.91	128.0	1373	
chr18	24126781	24130184	+	67.65	0.84	327.0	3403	
chr18	24130367	24131175	+	65.97	0.76	66.0	808	
chr18	24235427	24236349	+	58.79	0.75	60.0	922	
chr18	24236463	24237262	+	77.85	0.95	114.0	799	
chr18	24408812	24409917	+	54.75	0.6	50.0	1105	
chr18	24443145	24443731	+	66.55	0.6	39.0	586	
chr18	24764446	24765673	+	67.4	0.7	93.0	1227	
chr18	25755415	25758493	+	69.59	0.85	316.0	3078	
chr18	25820386	25820898	+	58.2	0.72	31.0	512	
chr18	27754977	27755607	+	73.65	0.74	63.0	630	
chr18	28621330	28623392	+	60.14	0.81	148.0	2062	
chr18	28680628	28682499	+	63.28	0.75	138.0	1871	
chr18	28990755	28991442	+	56.48	0.66	36.0	687	
chr18	29077553	29078704	+	69.59	0.81	112.0	1151	
chr18	29263896	29266254	+	63.44	0.92	218.0	2358	
chr18	29303866	29304623	+	62.88	0.6	45.0	757	
chr18	29457297	29457842	+	56.51	0.62	27.0	545	
chr18	29512742	29513260	+	55.79	0.6	24.0	518	
chr18	29516590	29517299	+	51.9	0.62	29.0	709	
chr18	29522253	29523578	+	64.53	0.85	117.0	1325	
chr18	29598567	29599513	+	66.07	0.78	80.0	946	
chr18	29660602	29661115	+	51.46	0.78	26.0	513	
chr18	29671758	29673528	+	69.66	0.86	185.0	1770	
chr18	29680460	29681102	+	50.16	0.6	24.0	642	
chr18	29738023	29738828	+	50.31	0.65	33.0	805	
chr18	29867399	29867974	+	54.43	0.62	26.0	575	
chr18	30049990	30051574	+	69.38	0.88	167.0	1584	
chr18	30349356	30352558	+	63.99	0.62	204.0	3202	
chr18	30374338	30375060	+	69.53	0.6	52.0	722	
chr18	30772590	30773223	+	54.5	0.71	33.0	633	
chr18	31020168	31021014	+	67.38	0.8	77.0	846	
chr18	31157607	31159530	+	63.96	1.0	196.0	1923	
chr18	31400122	31400740	+	83.5	0.97	103.0	618	
chr18	31738934	31739868	+	64.45	0.66	64.0	934	
chr18	31801973	31803484	+	60.62	0.78	108.0	1511	
chr18	32073112	32074516	+	67.31	0.88	136.0	1404	
chr18	32556626	32558114	+	64.99	0.73	114.0	1488	
chr18	32621050	32621853	+	61.27	0.77	57.0	803	
chr18	32820454	32821481	+	58.03	0.83	72.0	1027	
chr18	32847091	32848131	+	62.21	0.9	88.0	1040	
chr18	32851566	32852132	+	72.44	0.61	45.0	566	
chr18	32869808	32870626	+	56.36	0.74	48.0	818	
chr18	32923626	32924751	+	61.16	0.79	82.0	1125	
chr18	32956510	32957685	+	63.23	0.77	90.0	1175	
chr18	33077301	33078658	+	55.05	0.86	88.0	1357	
chr18	33160855	33162331	+	75.27	1.04	218.0	1476	
chr18	33529929	33531067	+	55.27	0.74	64.0	1138	
chr18	33551945	33553359	+	55.45	0.84	91.0	1414	
chr18	33646985	33647666	+	64.76	0.94	67.0	681	
chr18	33708187	33710347	+	60.23	0.8	157.0	2160	
chr18	33765901	33768669	+	63.19	0.63	174.0	2768	
chr18	33875895	33876443	+	54.38	0.72	29.0	548	
chr18	33876590	33878714	+	70.95	0.78	209.0	2124	
chr18	34219216	34219753	+	57.36	0.65	28.0	537	
chr18	34408223	34409412	+	67.87	0.77	105.0	1189	
chr18	34833454	34834748	+	74.65	0.75	135.0	1294	
chr18	34854198	34855679	+	67.66	0.71	120.0	1481	
chr18	34973754	34974610	+	62.15	0.79	65.0	856	
chr18	35064843	35066007	+	67.61	0.85	109.0	1164	
chr18	35104296	35104966	+	63.58	0.95	63.0	670	
chr18	35144836	35145797	+	61.08	0.94	79.0	961	
chr18	35146443	35148038	+	60.94	0.87	129.0	1595	
chr18	37053427	37054048	+	52.01	0.69	29.0	621	
chr18	37145526	37146050	+	58.78	0.71	32.0	524	
chr18	37271486	37272083	+	55.61	0.77	35.0	597	
chr18	37641883	37642408	+	57.52	0.66	28.0	525	
chr18	38519500	38520284	+	50.77	0.68	34.0	784	
chr18	40801533	40802220	+	53.13	0.65	31.0	687	
chr18	41453442	41454010	+	55.81	0.78	34.0	568	
chr18	42258808	42260796	+	64.89	1.01	211.0	1988	
chr18	42324296	42325097	+	61.05	0.67	50.0	801	
chr18	42531834	42532362	+	51.33	0.7	24.0	528	
chr18	42643039	42644037	+	64.73	0.63	66.0	998	
chr18	43367718	43368309	+	57.19	0.82	39.0	591	
chr18	43417082	43417971	+	69.63	0.84	90.0	889	
chr18	43418530	43419503	+	64.44	0.73	73.0	973	
chr18	43545745	43546322	+	58.23	0.81	39.0	577	
chr18	43546986	43547820	+	61.15	0.76	59.0	834	
chr18	43554766	43555290	+	52.1	0.68	24.0	524	
chr18	43607848	43608741	+	55.66	0.98	66.0	893	
chr18	43651482	43652704	+	68.09	0.75	106.0	1222	
chr18	43677763	43679054	+	55.38	0.75	74.0	1291	
chr18	43684032	43684966	+	55.57	0.87	63.0	934	
chr18	43750726	43751231	+	59.21	0.68	30.0	505	
chr18	43753079	43755206	+	64.27	0.84	184.0	2127	
chr18	43766913	43767604	+	51.81	0.63	29.0	691	
chr18	43913346	43914704	+	68.85	0.95	152.0	1358	
chr18	44021577	44022122	+	58.53	0.8	37.0	545	
chr18	44140034	44140576	+	64.39	0.72	36.0	542	
chr18	44259667	44260610	+	63.31	0.63	59.0	943	
chr18	44335820	44338194	+	62.64	0.82	192.0	2374	
chr18	44382465	44383004	+	52.88	0.8	30.0	539	
chr18	44496688	44497866	+	69.35	0.99	137.0	1178	
chr18	44526425	44527168	+	50.87	0.82	39.0	743	
chr18	44542606	44544830	+	64.88	0.77	180.0	2224	
chr18	44546308	44547262	+	53.46	0.65	43.0	954	
chr18	44548533	44550757	+	64.88	0.77	180.0	2224	
chr18	44552231	44553185	+	53.56	0.64	43.0	954	
chr18	44554448	44556672	+	64.93	0.77	180.0	2224	
chr18	44559301	44560807	+	56.77	0.63	76.0	1506	
chr18	44560932	44561862	+	64.84	0.7	68.0	930	
chr18	44676389	44677187	+	63.78	0.9	71.0	798	
chr18	44701800	44702841	+	59.08	0.79	70.0	1041	
chr18	44772993	44775715	+	71.57	0.89	308.0	2722	
chr18	44777612	44778379	+	61.67	0.8	58.0	767	
chr18	44780635	44781272	+	55.73	0.77	38.0	637	
chr18	44786414	44788666	+	58.79	0.67	131.0	2252	
chr18	44788796	44789301	+	58.61	0.79	34.0	505	
chr18	44789490	44790939	+	62.25	0.7	97.0	1449	
chr18	45058066	45058683	+	59.64	0.64	35.0	617	
chr18	45186667	45187235	+	58.63	0.68	33.0	568	
chr18	45274970	45275933	+	59.09	0.86	72.0	963	
chr18	45353805	45354855	+	68.0	0.62	75.0	1050	
chr18	45456178	45458347	+	67.96	0.9	226.0	2169	
chr18	45534211	45535273	+	63.94	0.77	81.0	1062	
chr18	45555617	45556258	+	70.83	0.8	64.0	641	
chr18	45662115	45663768	+	64.73	0.78	134.0	1653	
chr18	45687601	45688636	+	71.01	0.69	88.0	1035	
chr18	45934146	45937288	+	67.92	0.91	324.0	3142	
chr18	46064816	46065400	+	56.85	0.71	33.0	584	
chr18	46065534	46068035	+	68.57	0.83	242.0	2501	
chr18	46287719	46288233	+	58.37	0.71	31.0	514	
chr18	46396380	46396974	+	56.4	1.16	31.0	594	
chr18	46474932	46475926	+	61.97	0.77	73.0	994	
chr18	46476108	46479365	+	67.36	0.87	321.0	3257	
chr18	46501335	46503148	+	68.89	0.93	199.0	1813	
chr18	46538271	46538795	+	54.01	0.76	28.0	524	
chr18	46758737	46759286	+	53.92	0.63	25.0	549	
chr18	46768983	46769538	+	51.89	0.7	26.0	555	
chr18	46986483	46987620	+	64.64	0.84	100.0	1137	
chr18	47013174	47014141	+	58.74	0.98	80.0	967	
chr18	47018253	47018988	+	60.14	0.81	53.0	735	
chr18	47086932	47088782	+	60.54	0.74	125.0	1850	
chr18	47339412	47340957	+	64.4	0.79	125.0	1545	
chr18	47720199	47722147	+	67.86	0.87	193.0	1948	
chr18	47794231	47795095	+	57.29	0.86	61.0	864	
chr18	47807462	47809411	+	64.39	0.74	148.0	1949	
chr18	47812920	47814744	+	60.09	0.82	126.0	1824	
chr18	47824253	47824866	+	54.81	0.72	33.0	613	
chr18	47828334	47828852	+	51.74	0.63	22.0	518	
chr18	47901188	47901763	+	65.57	0.78	48.0	575	
chr18	48085804	48087590	+	72.62	0.81	190.0	1786	
chr18	48190111	48190896	+	58.98	0.64	44.0	785	
chr18	48255142	48256360	+	65.02	0.79	102.0	1218	
chr18	48404989	48406393	+	66.74	0.85	133.0	1404	
chr18	48494158	48495054	+	67.08	0.86	87.0	896	
